,Developer,Game Title
0,EA Montreal,Army of Two: The 40th Day
1,Buzz Monkey,Army of Two: The 40th Day
2,EA Montreal,Army of Two: The 40th Day
3,Buzz Monkey,Army of Two: The 40th Day
4,Eurocom Entertainment Software,Vancouver 2010 - The Official Video Game of the Olympic Winter Games
5,Eurocom Entertainment Software,Vancouver 2010 - The Official Video Game of the Olympic Winter Games
6,HandyGames,Puzzlegeddon
7,Pieces Interactive,Puzzlegeddon
8,Tecmo,Puzzlegeddon
9,Croteam,Serious Sam
10,Airtight Games,Dark Void
11,Airtight Games,Dark Void
12,Sega,Football Manager 2010
13,Sports Interactive,Football Manager 2010
14,Airtight Games,Dark Void
15,BioWare,Mass Effect 2
16,BioWare,Mass Effect 2
17,Image Epoch,Sands of Destruction
18,Eighting,Tatsunoko vs. Capcom: Ultimate All-Stars
19,Other Ocean Interactive,Dark Void Zero
20,Grasshopper Manufacture,No More Heroes 2: Desperate Struggle
21,Premium Agency ,Death By Cube
22,Hijinx Studios,Vandal Hearts: Flames of Judgment
23,Hijinx Studios,Vandal Hearts: Flames of Judgment
24,Cyanide,Blood Bowl
25,Climax Group,Silent Hill: Shattered Memories
26,Ubisoft Paris,Just Dance
27,Paon Corporation,Glory of Heracles
28,Ubisoft Montreal,Assassin's Creed II
29,Access Games,The Sky Crawlers: Innocent Aces
30,Level 5,White Knight Chronicles International Edition
31,GSC Game World,S.T.A.L.K.E.R.: Call of Pripyat
32,Zipper Interactive,MAG
33,Enlight Software,Hotel Giant 2
34,Zoe Mode,Chime
35,Dorasu,Fast Food Panic
36,MBA International,Fast Food Panic
37,Visceral Games,Dante's Inferno
38,Artificial Mind and Movement,Dante's Inferno
39,Visceral Games,Dante's Inferno
40,Artificial Mind and Movement,Dante's Inferno
41,Iron Galaxy Studios,BioShock 2
42,2K Marin,BioShock 2
43,Iron Galaxy Studios,BioShock 2
44,2K Marin,BioShock 2
45,Gameloft,Tank Battles
46,Tecmo,Fret Nice
47,Pieces Interactive,Fret Nice
48,Slant Six,SOCOM: U.S. Navy SEALs Fireteam Bravo 3
49,Rebellion,Aliens vs. Predator
50,Rebellion,Aliens vs. Predator
51,Glu Games Inc.,Family Guy Uncensored
52,Glu Mobile,Family Guy Uncensored
53,Sega,Crazy Taxi
54,Electronic Arts Nederland BV,Crazy Taxi
55,Hitmaker,Crazy Taxi
56,Acclaim,Crazy Taxi
57,Acclaim Studios Cheltenham,Crazy Taxi
58,EA Mobile,Crazy Taxi
