,Game Title,Publisher
0,Army of Two: The 40th Day,Electronic Arts
1,Army of Two: The 40th Day,Electronic Arts
2,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Sega
3,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Sega
4,Puzzlegeddon,HandyGames
5,Puzzlegeddon,Pieces Interactive
6,Puzzlegeddon,Tecmo
7,Puzzlegeddon,Koei Tecmo Games
8,Serious Sam,cdv Software
9,Serious Sam,Devolver Digital
10,Serious Sam,Gotham Games
11,Serious Sam,Take-Two Interactive
12,Serious Sam,Majesco Games
13,Dark Void,Capcom
14,Dark Void,Capcom
15,Football Manager 2010,Sega
16,Dark Void,Capcom
17,Mass Effect 2,Electronic Arts
18,Mass Effect 2,EA Games
19,Mass Effect 2,ak tronic
20,Mass Effect 2,Electronic Arts
21,Mass Effect 2,EA Games
22,Mass Effect 2,ak tronic
23,Sands of Destruction,Sega
24,Tatsunoko vs. Capcom: Ultimate All-Stars,Capcom
25,Dark Void Zero,Capcom
26,No More Heroes 2: Desperate Struggle,Ubisoft
27,No More Heroes 2: Desperate Struggle,Rising Star Games
28,No More Heroes 2: Desperate Struggle,Marvelous
29,Death By Cube,Square Enix
30,Vandal Hearts: Flames of Judgment,Konami
31,Vandal Hearts: Flames of Judgment,Konami
32,Blood Bowl,Cyanide
33,Blood Bowl,Focus Home Interactive
34,Blood Bowl,SouthPeak Games
35,Silent Hill: Shattered Memories,Konami
36,Just Dance,Ubisoft
37,Glory of Heracles,Nintendo
38,Assassin's Creed II,Ubisoft
39,Assassin's Creed II,Focus Multimedia
40,Assassin's Creed II,E-Frontier
41,The Sky Crawlers: Innocent Aces,Bandai Namco Games
42,The Sky Crawlers: Innocent Aces,Namco Bandai Games
43,The Sky Crawlers: Innocent Aces,Xseed Games
44,White Knight Chronicles International Edition,SCEE
45,White Knight Chronicles International Edition,SCEI
46,White Knight Chronicles International Edition,SCE Australia
47,White Knight Chronicles International Edition,SCEA
48,S.T.A.L.K.E.R.: Call of Pripyat,"Viva Media, LLC"
49,S.T.A.L.K.E.R.: Call of Pripyat,bitComposer Games
50,S.T.A.L.K.E.R.: Call of Pripyat,Zoo Corporation
51,S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World
52,S.T.A.L.K.E.R.: Call of Pripyat,Deep Silver
53,MAG,SCEI
54,MAG,SCEA
55,MAG,SCE Australia
56,MAG,SCEE
57,Hotel Giant 2,SouthPeak Games
58,Hotel Giant 2,Nobilis
59,Chime,OneBigGame
60,Chime,Valcon Games
61,Fast Food Panic,SouthPeak Games
62,Fast Food Panic,Dorasu
63,Dante's Inferno,Electronic Arts
64,Dante's Inferno,Electronic Arts
65,BioShock 2,2K Games
66,BioShock 2,Feral Interactive
67,BioShock 2,CyberFront
68,BioShock 2,D3Publisher
69,BioShock 2,2K Games
70,BioShock 2,Feral Interactive
71,BioShock 2,CyberFront
72,BioShock 2,D3Publisher
73,Tank Battles,Gameloft
74,Fret Nice,Tecmo
75,Fret Nice,Koei Tecmo Games
76,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SCEI
77,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SCEE
78,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SCEA
79,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SCE Australia
80,Aliens vs. Predator,Sega
81,Aliens vs. Predator,Avanquest Software
82,Aliens vs. Predator,Sega
83,Aliens vs. Predator,Avanquest Software
84,Family Guy Uncensored,Glu Games Inc.
85,Family Guy Uncensored,Glu Mobile
86,Crazy Taxi,Sega
87,Crazy Taxi,Electronic Arts Nederland BV
88,Crazy Taxi,Acclaim
89,Crazy Taxi,Activision Value
90,Crazy Taxi,Activision
91,Crazy Taxi,SCEI
92,Crazy Taxi,Sega Europe
93,Crazy Taxi,EA Mobile
94,Need for Speed Shift,Electronic Arts
95,Need for Speed Shift,Electronic Arts Nederland BV
96,Need for Speed Shift,EA Mobile
97,Beneath a Steel Sky,Virgin Interactive
98,Beneath a Steel Sky,Revolution Software
99,Call of Duty: World at War - Zombies,Vivendi Universal Games Mobile
100,Call of Duty: World at War - Zombies,Activision
101,Command & Conquer: Red Alert,Electronic Arts
102,Command & Conquer: Red Alert,Virgin Interactive
103,Command & Conquer: Red Alert,Westwood Studios
104,Command & Conquer: Red Alert,Sold Out Software
105,Dungeon Hunter,Gameloft
106,Eliminate Pro,ngmoco
107,Indiana Jones and the Lost Puzzles,THQ Wireless
108,Scrabble (2008),EA Mobile
109,Scrabble (2008),Electronic Arts
110,Boggle (1999),EA Mobile
111,Connect 4 (1999),EA Mobile
112,Farm Frenzy,"Alawar Entertainment, Inc"
113,Farm Frenzy,MumboJumbo
114,Farm Frenzy,iWin
115,Shiren the Wanderer,Spike
116,Shiren the Wanderer,Spike Chunsoft
117,Shiren the Wanderer,Sega
118,Shiren the Wanderer,ATLUS
119,Ace Attorney Investigations: Miles Edgeworth,Capcom
120,Star Trek Online,Perfect World Entertainment
121,Star Trek Online,Namco Bandai Games
122,Star Trek Online,Atari SA
123,Super Monkey Ball: Step & Roll,Sega
124,Darwinia+,Introversion
125,Darwinia+,Ambrosia
126,Darwinia+,Cinemaware
127,Aliens vs. Predator,Sega
128,Aliens vs. Predator,Avanquest Software
129,The Misadventures of P.B. Winterbottom,2K Games
130,The Misadventures of P.B. Winterbottom,2K Play
131,Dark Void,Capcom
132,Endless Ocean: Blue World,Nintendo
133,Dark Void,Capcom
134,Heavy Rain,SCEA
135,Heavy Rain,SCEE
136,Heavy Rain,SCE Australia
137,Heavy Rain,SCEI
138,Heavy Rain,Sony Interactive Entertainment
139,Sonic & Sega All-Stars Racing,Sega
140,Sonic & Sega All-Stars Racing,Feral Interactive
141,Sonic & Sega All-Stars Racing,Avanquest Software
142,Star Wars: The Force Unleashed,THQ Wireless
143,Star Wars: The Force Unleashed,LucasArts
144,Star Wars: The Force Unleashed,Activision
145,Sonic & Sega All-Stars Racing,Sega
146,Sonic & Sega All-Stars Racing,Feral Interactive
147,Sonic & Sega All-Stars Racing,Avanquest Software
148,Sonic & Sega All-Stars Racing,Sega
149,Sonic & Sega All-Stars Racing,Feral Interactive
150,Sonic & Sega All-Stars Racing,Avanquest Software
151,Tropico 3,Feral Interactive
152,Tropico 3,Kalypso
153,Tropico 3,Zoo Corporation
154,Tropico 3,Russel
155,Star Ocean: The Last Hope,Square Enix
156,Borderlands,2K Games
157,Borderlands,CyberFront
158,Borderlands,Take-Two Interactive
159,Sonic & Sega All-Stars Racing,Sega
160,Sonic & Sega All-Stars Racing,Feral Interactive
161,Sonic & Sega All-Stars Racing,Avanquest Software
162,World of Outlaws: Sprint Cars,Atari SA
